AvgSWE,year,month
6.158064516129032,2002,1
7.903571428571429,2002,2
10.651612903225805,2002,3
7.89,2002,4
1.532258064516129,2002,5
0.0,2002,6
0.0,2002,7
0.0,2002,8
0.006666666666666667,2002,9
0.2806451612903226,2002,10
1.2,2002,11
4.319354838709677,2002,12
7.593548387096774,2003,1
9.9,2003,2
14.435483870967742,2003,3
16.76,2003,4
12.264516129032257,2003,5
0.5733333333333334,2003,6
0.0,2003,7
0.0,2003,8
0.0,2003,9
0.27741935483870966,2003,10
3.646666666666667,2003,11
5.561290322580645,2003,12
8.406451612903227,2004,1
10.431034482758621,2004,2
12.3,2004,3
11.229999999999999,2004,4
4.696774193548387,2004,5
0.25,2004,6
0.0,2004,7
0.0,2004,8
0.06333333333333334,2004,9
0.0,2004,10
2.183333333333333,2004,11
5.051612903225807,2004,12
9.829032258064515,2005,1
12.603571428571428,2005,2
15.325806451612904,2005,3
16.34,2005,4
11.412903225806453,2005,5
2.283333333333333,2005,6
0.016129032258064516,2005,7
0.0,2005,8
0.0,2005,9
0.37741935483870964,2005,10
2.26,2005,11
5.367741935483871,2005,12
11.193548387096774,2006,1
14.267857142857142,2006,2
16.76774193548387,2006,3
17.33,2006,4
7.129032258064516,2006,5
0.2966666666666667,2006,6
0.0,2006,7
0.0,2006,8
0.17333333333333334,2006,9
0.4419354838709677,2006,10
2.73,2006,11
7.354838709677419,2006,12
8.183870967741935,2007,1
10.407142857142857,2007,2
13.248387096774193,2007,3
13.446666666666665,2007,4
6.245161290322581,2007,5
0.41333333333333333,2007,6
0.0,2007,7
0.0,2007,8
0.0,2007,9
0.8580645161290323,2007,10
3.146666666666667,2007,11
5.903225806451613,2007,12
10.061290322580644,2008,1
15.413793103448276,2008,2
19.08709677419355,2008,3
22.266666666666666,2008,4
16.638709677419353,2008,5
3.11,2008,6
0.02903225806451613,2008,7
0.0,2008,8
0.0,2008,9
0.6064516129032258,2008,10
1.3133333333333332,2008,11
5.367741935483871,2008,12
10.429032258064517,2009,1
13.760714285714286,2009,2
16.225806451612904,2009,3
18.92,2009,4
8.293548387096775,2009,5
0.5333333333333333,2009,6
0.0,2009,7
0.0,2009,8
0.020000000000000004,2009,9
0.16129032258064516,2009,10
1.37,2009,11
5.670967741935483,2009,12
6.854838709677419,2010,1
9.375,2010,2
12.338709677419354,2010,3
13.29,2010,4
9.98709677419355,2010,5
0.6566666666666666,2010,6
0.0,2010,7
0.0,2010,8
0.0,2010,9
0.5387096774193548,2010,10
2.0566666666666666,2010,11
4.354838709677419,2010,12
12.02258064516129,2011,1
15.489285714285714,2011,2
19.25483870967742,2011,3
23.24,2011,4
23.183870967741935,2011,5
7.183333333333334,2011,6
0.1935483870967742,2011,7
0.0,2011,8
0.0,2011,9
0.3741935483870968,2011,10
3.046666666666667,2011,11
7.422580645161291,2011,12
5.606451612903226,2012,1
8.606896551724137,2012,2
11.02258064516129,2012,3
6.543333333333334,2012,4
1.167741935483871,2012,5
0.0,2012,6
0.0,2012,7
0.0,2012,8
0.0,2012,9
0.4258064516129032,2012,10
2.49,2012,11
3.925806451612903,2012,12
5.364516129032259,2013,1
7.932142857142857,2013,2
11.058064516129033,2013,3
13.979999999999999,2013,4
9.325806451612904,2013,5
0.53,2013,6
0.0,2013,7
0.0,2013,8
0.016666666666666666,2013,9
0.18387096774193548,2013,10
1.02,2013,11
2.97741935483871,2013,12
8.738709677419354,2014,1
13.85,2014,2
17.861290322580647,2014,3
19.173333333333336,2014,4
12.858064516129033,2014,5
1.4866666666666668,2014,6
0.0,2014,7
0.0,2014,8
0.0033333333333333335,2014,9
0.7290322580645162,2014,10
2.953333333333333,2014,11
5.735483870967743,2014,12
8.09032258064516,2015,1
9.896428571428572,2015,2
12.45483870967742,2015,3
10.53,2015,4
8.25483870967742,2015,5
1.6933333333333331,2015,6
0.0,2015,7
0.0,2015,8
0.0,2015,9
0.10645161290322581,2015,10
1.73,2015,11
4.909677419354838,2015,12
8.506451612903225,2016,1
11.813793103448276,2016,2
14.061290322580644,2016,3
15.823333333333332,2016,4
11.861290322580645,2016,5
1.3633333333333333,2016,6
0.0,2016,7
0.0,2016,8
0.0033333333333333335,2016,9
0.2161290322580645,2016,10
2.5566666666666666,2016,11
5.429032258064517,2016,12
11.85483870967742,2017,1
15.546428571428573,2017,2
17.20967741935484,2017,3
15.336666666666666,2017,4
10.077419354838709,2017,5
1.5766666666666667,2017,6
0.0,2017,7
0.0,2017,8
0.020000000000000004,2017,9
0.05161290322580645,2017,10
0.5700000000000001,2017,11
5.122580645161291,2017,12
5.648387096774194,2018,1
8.692857142857143,2018,2
11.193548387096774,2018,3
12.966666666666667,2018,4
5.393548387096774,2018,5
0.07,2018,6
0.0,2018,7
0.0,2018,8
0.0,2018,9
0.6290322580645161,2018,10
1.6566666666666667,2018,11
3.1225806451612903,2018,12
8.770967741935483,2019,1
12.62857142857143,2019,2
18.993548387096773,2019,3
19.67,2019,4
15.548387096774194,2019,5
6.016666666666667,2019,6
0.21935483870967742,2019,7
0.0,2019,8
0.0,2019,9
0.8354838709677419,2019,10
2.9566666666666666,2019,11
5.880645161290323,2019,12
8.83548387096774,2020,1
12.775862068965518,2020,2
15.783870967741937,2020,3
16.953333333333333,2020,4
7.699999999999999,2020,5
0.25,2020,6
0.0,2020,7
0.0,2020,8
0.04,2020,9
0.6096774193548387,2020,10
2.6166666666666667,2020,11
5.883870967741935,2020,12
5.948387096774193,2021,1
9.360714285714286,2021,2
12.48709677419355,2021,3
12.2,2021,4
6.196774193548387,2021,5
0.22666666666666666,2021,6
0.0,2021,7
0.0,2021,8
0.0,2021,9
0.15806451612903227,2021,10
1.8333333333333333,2021,11
3.8225806451612905,2021,12
10.119354838709677,2022,1
11.364285714285714,2022,2
14.2,2022,3
14.726666666666667,2022,4
6.761290322580645,2022,5
0.44333333333333336,2022,6
0.0,2022,7
0.0,2022,8
0.0,2022,9
0.4645161290322581,2022,10
1.8166666666666667,2022,11
4.187096774193549,2022,12
